Month,Passengers
1/1/1995,112
2/1/1995,118
3/1/1995,132
4/1/1995,129
5/1/1995,121
6/1/1995,135
7/1/1995,148
8/1/1995,148
9/1/1995,136
10/1/1995,119
11/1/1995,104
12/1/1995,118
1/1/1996,115
2/1/1996,126
3/1/1996,141
4/1/1996,135
5/1/1996,125
6/1/1996,149
7/1/1996,170
8/1/1996,170
9/1/1996,158
10/1/1996,133
11/1/1996,114
12/1/1996,140
1/1/1997,145
2/1/1997,150
3/1/1997,178
4/1/1997,163
5/1/1997,172
6/1/1997,178
7/1/1997,199
8/1/1997,199
9/1/1997,184
10/1/1997,162
11/1/1997,146
12/1/1997,166
1/1/1998,171
2/1/1998,180
3/1/1998,193
4/1/1998,181
5/1/1998,183
6/1/1998,218
7/1/1998,230
8/1/1998,242
9/1/1998,209
10/1/1998,191
11/1/1998,172
12/1/1998,194
1/1/1999,196
2/1/1999,196
3/1/1999,236
4/1/1999,235
5/1/1999,229
6/1/1999,243
7/1/1999,264
8/1/1999,272
9/1/1999,237
10/1/1999,211
11/1/1999,180
12/1/1999,201
1/1/2000,204
2/1/2000,188
3/1/2000,235
4/1/2000,227
5/1/2000,234
6/1/2000,264
7/1/2000,302
8/1/2000,293
9/1/2000,259
10/1/2000,229
11/1/2000,203
12/1/2000,229
1/1/2001,242
2/1/2001,233
3/1/2001,267
4/1/2001,269
5/1/2001,270
6/1/2001,315
7/1/2001,364
8/1/2001,347
9/1/2001,312
10/1/2001,274
11/1/2001,237
12/1/2001,278
1/1/2002,284
2/1/2002,277
3/1/2002,317
4/1/2002,313
5/1/2002,318
6/1/2002,374
7/1/2002,413
8/1/2002,405
9/1/2002,355
10/1/2002,306
11/1/2002,271
12/1/2002,306
